"Part Nbr","Description","Inv Type","Sales Code","Lead Code","Engr Status","Whse Location","Qty On Hand","UOM","List Price","Acctg Cost"
"205-0190",".040"" CLEAR ANODIZED ALUM 4' X 8'","FALUM","","P","A","","0","SF","5.52000","3.15000"
"205-0191",".040"" CLEAR ANODIZED ALUM 4' X 10'","FALUM","","P","A","","0","SF","5.52000","3.15000"
"205-0200",".050"" WHITE/MILL ALUM 3004","FALUM","","P","A","","0","SF","4.37684","2.50105"
"205-0201",".050"" WHITE/MILL ALUM 5052","FALUM","","P","A","","40","SF","5.75239","3.28708"
"205-0205",".063 MILL ALUM 3003","FALUM","","P","A","","0","SF","3.38625","1.75125"
"205-0210",".063"" WHITE ALUM 4' X 8'","FALUM","","P","A","","0","SF","4.44199","2.53828"
"205-0211",".063"" WHITE/WHITE ALUM","FALUM","","P","A","","521","SF","8.42286","3.25000"
"205-0212",".063"" Texaco Red/WHITE ALUM","FALUM","","P","A","20","400","SF","9.07991","5.18852"
"205-0220",".063"" WHITE/MILL ALUM 5052 4' x 8'","FALUM","","P","A","","0","SF","3.84000","2.19000"
"205-0221",".063"" MILL ALUMINUM 5052","FALUM","","P","A","","916","SF","4.55000","2.60000"
"205-0222",".063"" MILL ALUMINUM 5052 - 5' X 10'","FALUM","","P","I","20","0","SF","3.23400","1.84800"
"205-0223",".063"" MILL ALUMINUM 5052 - 4' X 12'","FALUM","","P","I","20","0","SF","3.21563","1.83750"
"205-0230",".063"" FLOUROPON - 4' x 8'","FALUM","","P","A","","0","SF","2.84000","1.62000"
"205-0240",".063"" FLOUROPON - 4' X 10'","FALUM","","P","A","","0","SF","2.84000","1.62000"
"205-0245",".063"" ALUMINUM DIAMOND PLATE - 4' X 10'","FALUM","","P","A","","0","SF","5.42063","3.09750"
"205-0250","12' ROLLEX SOFFIT MATERIAL","FSOFFT","","P","A","","0","PC","23.24000","13.27910"
"205-0253",".080"" WHITE/WHITE 4x10 sheets","FALUM","","P","A","","-240","SF","11.37325","6.49900"
"205-0254",".080"" WHITE/MILL ALUMINUM SHEET 5052 - 4' X 10'","FALUM","","P","A","","0","SF","4.73118","2.70353"
"205-0255",".080"" WHITE/MILL ALUMINUM SHEET 5052 - 4' X 8'","FALUM","","P","A","","0","SF","3.34583","1.91190"
"205-0256",".080"" ALUMINUM 5052","FALUM","","P","A","","2,994","SF","5.94108","3.39490"
"205-0260","12' WHITE F SOFFIT STARTER","FSOFFT","","P","A","","0","PC","11.63000","6.64000"
"205-0270","12' J CHANNEL SOFFIT MATERIAL","FSOFFT","","P","A","","0","PC","6.33000","3.62000"
"206-0100","3MM White/White Maxmetal Lite","FALUM","","P","A","20","721","SF","1.93867","1.10781"
"206-0101","3MM black/black Maxmetal colors","FALUM","","P","A","20","0","SF","2.55281","1.45875"
"206-0110","6MM white/white maxmetal 6mm","FALUM","","P","A","20","1,453","SF","4.68781","2.67875"
"206-0111","6MM  black/black maxmetal 6mm","FALUM","","P","A","20","0","SF","3.45954","1.97688"
"206-0120","3MM SILVER/BRONZE DIBOND  - 4' X 8'","FALUM","","P","A","","0","SF","3.69000","2.10980"
"206-0121","3MM SILVER/BRONZE DIBOND  - 4' X 10'","FALUM","","P","A","","0","SF","3.69000","2.10980"
"206-0130","3MM WHITE/BLACK DIBOND - 4' X 8'","FALUM","","P","A","","0","SF","6.01493","3.43710"
"206-0131","3MM WHITE/BLACK DIBOND - 4' X 10'","FALUM","","P","A","","0","SF","7.89863","4.51350"
"206-0140","3MM WHITE/WHITE DIBOND - 4' X 8'","FALUM","","P","A","","0","SF","4.94000","3.38340"
"206-0141","3MM WHITE/WHITE DIBOND - 4' X 10'","FALUM","","P","A","","0","SF","4.94000","3.38340"
"206-0150","3MM CANDY APPLE RED D-LITE - 4' X 8'","FALUM","","P","A","","0","SF","4.38000","2.50000"
"206-0151","3MM CANDY APPLE RED D-LITE - 4' X 10'","FALUM","","P","A","","0","SF","4.38000","2.50000"
"206-0160","3MM WHITE 1S D-LITE  - 4' X 8'","FALUM","","P","A","","12","SF","6.36615","3.63780"
"206-0161","3MM WHITE 1S D-LITE - 4' X 10'","FALUM","","P","A","","0","SF","4.83000","2.35700"
"206-0170","1/4"" ALUMALITE WHITE 2S ALUMINUM - 4' X 8'","FALUM","","P","A","","0","SF","6.57000","3.75380"
"206-0171","1/4"" ALUMALITE WHITE 2S ALUMINUM - 4' X 10'","FALUM","","P","A","","0","SF","6.57000","3.75380"
"206-0180","6MM CANDY APPLE RED 1S ALUMALITE - 4' X 8'","FALUM","","P","A","","0","SF","7.41000","4.23180"
"206-0181","6MM CANDY APPLE RED 1S ALUMALITE - 4' X 10'","FALUM","","P","A","","0","SF","7.41000","4.23180"
"206-0190",".270"" CANDY APPLE RED DRIP EDGE - 10'","FALUM","","P","A","","0","LF","2.92000","1.66900"
